,NumberOfTime30-59DaysPastDueNotWorse,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,bins_age,bins_MonthlyIncome,bins_RevolvingUtilizationOfUnsecuredLines,bins_DebtRatio
27623,0,2,1,0,0,0.0,12,9,2,0
131192,0,5,0,0,0,2.0,3,4,1,0
100653,0,6,0,2,0,2.0,6,3,0,2
58562,0,12,0,1,0,0.0,10,4,1,1
25323,0,2,0,0,0,0.0,2,3,2,0
107951,1,4,1,0,0,0.0,3,7,3,0
120269,0,6,0,1,0,1.0,8,3,0,1
55376,0,7,0,2,0,0.0,2,3,2,3
86681,0,6,0,2,0,0.0,5,5,3,3
11715,0,9,0,1,0,2.0,5,7,3,2
68552,0,6,0,1,0,1.0,4,0,1,3
68492,1,4,0,0,0,1.0,5,8,2,0
84724,0,5,0,1,0,1.0,11,4,3,2
113737,0,15,0,2,0,0.0,8,9,2,2
83033,0,14,0,1,0,1.0,8,8,1,1
96539,0,12,0,2,0,0.0,3,4,1,1
123812,0,9,0,2,3,2.0,4,4,3,3
52822,0,16,0,5,0,1.0,4,9,0,2
120847,0,10,0,1,0,2.0,5,8,2,1
16807,0,9,0,2,0,0.0,5,7,1,2
31396,0,12,0,3,0,1.0,4,4,2,2
121624,3,6,0,1,2,0.0,7,5,3,2
102011,0,6,0,0,0,1.0,11,2,0,0
83855,0,15,0,0,0,0.0,9,2,2,3
81744,0,9,0,1,0,4.0,7,7,0,1
144097,0,15,0,2,0,0.0,11,5,0,3
7564,0,12,0,1,0,0.0,5,4,1,1
80619,0,3,0,1,0,0.0,7,5,0,3
74165,1,19,0,1,0,0.0,9,6,2,2
77431,0,2,0,0,0,0.0,7,5,0,0
1980,0,8,0,0,0,0.0,1,2,3,0
63046,0,0,1,0,0,4.0,8,3,3,0
45257,0,6,0,1,0,0.0,12,1,0,0
10480,0,5,0,0,0,0.0,4,1,3,2
10386,0,14,0,1,0,2.0,7,5,1,3
64778,0,11,0,2,0,1.0,8,9,2,1
22767,0,17,0,3,0,0.0,9,5,3,3
97839,0,12,0,2,0,0.0,9,9,2,1
55070,0,7,0,0,0,0.0,10,6,1,0
44409,0,1,0,0,0,0.0,2,2,3,0
39760,0,4,0,0,0,0.0,12,5,1,3
27066,0,9,0,1,1,2.0,4,8,2,2
107174,0,6,0,1,0,2.0,5,3,0,3
2756,0,1,0,0,0,0.0,7,5,3,0
45835,0,5,0,0,0,1.0,9,7,0,0
8982,0,4,0,0,0,0.0,12,3,0,0
11135,1,11,0,2,0,0.0,9,9,2,1
22657,0,10,0,3,0,0.0,8,5,3,3
119706,0,8,0,1,0,0.0,8,5,2,3
17263,0,12,0,0,0,0.0,12,1,3,2
45750,2,5,0,0,1,0.0,10,3,3,0
128617,1,16,0,2,0,0.0,8,9,1,1
83766,0,8,0,0,0,1.0,2,4,2,1
18116,0,16,0,2,0,0.0,12,3,0,2
72318,0,7,1,1,0,3.0,6,4,2,2
43241,0,7,0,1,0,1.0,4,4,2,1
86579,0,6,0,1,0,0.0,9,4,1,2
30656,1,11,0,2,0,1.0,6,9,1,1
24802,0,9,0,1,0,0.0,5,9,3,2
95698,0,9,0,0,0,0.0,3,5,2,3
130941,0,5,0,0,0,0.0,9,2,0,0
70067,1,3,3,3,0,1.0,8,5,3,3
71950,0,5,0,2,0,0.0,7,6,0,3
103038,0,6,0,1,0,1.0,9,6,1,0
36021,0,1,0,0,0,1.0,2,1,3,0
146596,3,4,1,0,1,5.0,5,4,3,1
55090,0,5,0,0,0,0.0,10,6,3,0
4218,0,8,0,2,0,0.0,8,5,1,3
60861,0,7,0,0,0,0.0,3,2,3,1
62938,0,5,0,1,0,0.0,4,2,1,2
125605,0,12,0,1,0,0.0,6,5,1,3
129710,0,5,0,2,0,0.0,7,5,0,3
110437,0,19,0,1,0,0.0,9,5,2,2
3550,0,4,0,0,0,0.0,11,1,0,0
81084,0,7,0,0,0,3.0,7,3,1,0
136005,0,9,0,0,0,0.0,9,6,1,0
77108,0,7,0,0,0,2.0,4,1,3,2
96494,0,21,0,1,0,0.0,3,7,2,1
74712,0,9,0,4,0,0.0,9,5,0,3
48015,0,12,0,1,0,3.0,7,5,0,2
103649,0,10,0,2,0,0.0,4,1,1,3
117588,1,23,0,2,0,0.0,7,4,1,1
105189,0,4,0,1,0,0.0,11,5,1,3
32648,0,2,0,0,0,1.0,3,4,2,0
42532,1,15,0,4,0,0.0,7,9,2,2
38974,0,10,0,1,0,0.0,10,9,0,1
138458,0,13,0,2,0,2.0,9,5,0,1
45859,0,10,0,1,0,0.0,10,8,2,1
126699,0,9,0,2,0,0.0,8,6,2,1
40067,0,4,1,0,0,0.0,5,3,0,0
117158,0,10,0,2,0,2.0,5,5,2,3
49581,0,5,1,1,0,3.0,6,5,2,2
132453,0,3,0,2,0,0.0,3,5,3,3
87994,0,8,0,1,0,0.0,10,0,0,3
133091,0,7,0,2,0,2.0,7,8,0,1
137943,0,6,0,1,0,0.0,8,9,2,0
100659,0,14,0,1,0,1.0,3,4,3,2
147395,0,7,0,0,0,0.0,12,0,0,0
63334,0,7,0,0,0,0.0,12,9,0,0
112049,0,9,0,0,0,0.0,12,5,0,0
84057,0,11,0,2,0,0.0,8,6,2,1
138795,0,9,0,2,0,0.0,8,5,1,3
18028,0,4,0,2,0,2.0,7,5,2,3
111350,0,4,0,0,0,0.0,4,2,1,0
104206,0,6,0,1,0,1.0,11,9,1,0
92461,1,5,1,0,0,0.0,3,5,1,3
40683,0,10,0,2,0,0.0,4,4,3,3
64509,1,6,0,1,1,2.0,5,0,3,3
10581,0,11,0,2,0,0.0,8,5,0,3
125510,0,10,0,0,0,0.0,9,8,0,0
11988,0,8,0,1,0,0.0,9,5,1,2
65409,0,10,0,1,0,1.0,9,2,0,1
64905,0,2,0,0,0,0.0,6,5,2,3
65434,0,3,0,0,0,0.0,2,5,0,3
136760,0,3,0,1,0,0.0,10,8,3,1
77609,0,4,0,0,0,0.0,8,5,0,0
98280,0,8,0,1,0,2.0,6,5,0,1
69473,0,5,0,0,0,0.0,2,7,0,0
128506,0,7,0,2,0,1.0,8,2,3,3
113107,0,11,0,2,0,0.0,9,2,3,2
10446,0,8,0,1,0,0.0,7,9,0,1
103749,0,9,0,0,0,0.0,7,3,0,0
87225,1,13,0,1,1,2.0,4,4,2,2
40640,0,16,0,1,1,3.0,9,9,0,1
15399,0,3,0,0,0,0.0,2,1,3,0
146599,3,3,0,1,0,4.0,6,5,1,1
146111,0,9,0,2,0,5.0,6,9,2,1
142552,1,8,0,1,0,0.0,6,7,3,1
102158,0,12,0,0,0,0.0,11,5,0,3
51765,0,5,0,0,0,1.0,2,5,2,0
33813,1,6,0,3,0,1.0,5,6,0,2
93566,0,12,0,2,0,2.0,8,9,0,1
134503,0,9,0,1,0,0.0,9,9,2,1
72378,0,9,0,1,0,0.0,8,9,0,0
67686,0,11,0,0,0,0.0,9,9,1,0
26264,0,3,0,0,0,0.0,9,9,3,0
80985,1,10,0,2,0,1.0,7,4,2,1
90066,0,12,0,2,0,2.0,5,0,3,3
53949,0,13,0,1,0,0.0,9,6,2,2
9829,0,13,0,2,0,0.0,11,5,0,3
146155,2,6,0,0,0,0.0,7,5,3,3
29148,0,3,0,0,0,1.0,5,5,3,0
36287,0,13,0,0,1,0.0,9,2,2,0
149402,0,3,0,0,0,0.0,12,5,0,3
142798,0,10,0,3,0,3.0,5,9,2,1
37488,0,8,0,0,0,0.0,2,4,2,1
25213,1,13,0,0,0,3.0,4,7,2,1
101073,0,15,0,0,0,0.0,7,9,1,0
115678,0,6,0,1,0,1.0,5,0,2,3
130798,0,13,0,2,0,0.0,6,7,3,3
91189,0,5,0,2,0,0.0,3,5,2,3
42873,0,15,0,0,0,0.0,8,9,1,0
410,0,19,0,4,0,0.0,7,9,2,2
148264,0,3,0,0,0,0.0,8,5,0,3
133072,0,7,0,0,0,3.0,5,7,2,0
141824,0,19,0,2,0,0.0,9,9,3,2
127855,0,9,0,0,0,0.0,8,2,0,0
11519,0,7,0,1,0,0.0,8,9,1,0
96146,0,1,0,0,0,1.0,1,1,3,1
17627,0,6,0,1,0,0.0,7,4,2,2
129301,0,7,0,0,0,3.0,2,2,3,1
126203,0,27,0,2,0,0.0,5,9,2,2
57978,1,15,0,1,0,1.0,7,8,0,1
79025,0,12,0,2,0,2.0,7,0,2,3
69828,0,13,0,3,0,0.0,7,9,1,2
125064,0,5,0,1,0,1.0,12,5,0,0
33388,0,12,0,3,0,0.0,12,9,1,2
104196,0,12,0,2,0,2.0,6,2,1,3
193,0,11,0,1,0,0.0,6,5,0,3
60373,0,14,0,1,0,0.0,6,9,2,2
80406,0,3,0,0,0,0.0,5,5,1,3
43599,0,13,0,1,0,1.0,5,4,2,1
130558,0,22,0,1,0,0.0,10,5,2,2
58383,0,20,0,2,0,0.0,9,8,3,2
62616,0,5,0,0,0,2.0,7,5,0,3
73168,1,10,0,2,0,0.0,9,5,1,3
58677,0,8,0,1,0,0.0,6,2,0,3
145203,0,13,0,1,0,0.0,8,9,2,2
143896,0,8,0,1,0,0.0,12,7,2,0
17449,0,12,0,0,0,0.0,7,1,0,1
81964,2,9,1,2,1,1.0,6,9,3,1
98711,0,13,0,0,0,0.0,2,3,3,2
107874,0,8,0,0,0,2.0,4,1,3,2
69288,0,4,0,1,0,0.0,6,9,1,1
104538,0,4,0,0,0,0.0,8,5,0,0
89259,0,3,0,0,0,0.0,1,2,2,0
147670,0,2,1,0,0,0.0,1,3,3,0
58938,0,17,0,2,0,0.0,8,7,1,2
81880,0,7,0,1,0,0.0,8,7,2,1
78143,2,3,1,0,2,0.0,2,5,0,3
122488,0,6,0,1,0,2.0,8,5,1,3
37807,0,15,0,1,0,0.0,12,5,0,3
97549,0,11,0,2,0,1.0,8,9,1,1
83280,0,3,0,0,0,0.0,9,0,0,2
118213,1,8,0,0,1,0.0,7,9,2,0
16197,0,3,0,1,0,0.0,6,5,0,3
102049,0,8,0,1,0,0.0,9,2,2,2
135096,0,6,0,0,0,2.0,5,4,2,0
110286,0,3,0,0,0,0.0,3,5,3,3
9464,0,46,0,3,0,0.0,7,9,3,2
109958,0,13,0,1,0,4.0,5,9,0,0
117735,0,18,0,2,0,1.0,6,9,1,1
6177,0,9,0,2,0,2.0,7,5,2,2
1329,0,3,0,1,0,0.0,9,3,0,0
41529,0,15,0,2,0,2.0,6,9,2,1
138722,0,28,0,0,0,4.0,7,5,0,1
43804,0,8,0,2,0,0.0,3,6,1,2
55145,0,16,0,1,0,0.0,11,9,0,0
112669,0,8,0,1,1,0.0,4,4,2,1
27627,0,16,0,2,0,0.0,8,9,2,1
82108,0,5,0,1,0,2.0,7,3,0,0
92239,0,10,0,3,0,1.0,4,8,2,2
45930,0,4,0,0,0,0.0,2,4,1,0
45426,0,10,0,0,0,0.0,12,4,0,0
87981,0,10,0,1,0,0.0,7,8,1,2
106069,0,5,0,0,0,0.0,8,9,0,0
30412,2,1,6,0,1,0.0,9,0,3,3
13155,0,5,0,2,0,0.0,9,3,1,1
114981,0,3,0,0,0,3.0,4,5,1,3
72755,0,8,0,1,0,0.0,7,5,2,2
97338,0,6,0,0,0,0.0,12,5,0,0
57459,0,7,0,2,0,2.0,7,7,3,1
146490,0,8,0,0,0,0.0,2,2,1,2
29894,0,14,0,0,0,0.0,11,9,0,0
142768,0,6,0,1,0,0.0,10,9,1,0
144082,0,1,0,0,0,0.0,5,5,3,0
35778,0,7,0,1,0,0.0,11,5,0,3
14181,1,5,0,2,0,4.0,5,9,3,1
58130,0,20,0,2,0,0.0,7,9,1,1
121086,0,7,0,2,0,2.0,5,4,0,2
25717,1,8,0,1,0,0.0,5,5,0,3
35640,0,10,0,1,0,0.0,6,9,1,0
130679,0,4,0,0,0,0.0,3,6,1,0
20632,0,7,0,3,0,0.0,8,2,0,2
36260,0,11,1,2,0,0.0,8,5,1,2
70840,0,8,0,1,0,0.0,10,3,0,1
18161,0,6,0,0,0,2.0,4,5,2,0
143104,0,17,0,2,0,0.0,7,9,2,1
29414,0,11,0,1,0,0.0,7,3,0,1
96121,0,15,0,0,0,0.0,12,5,0,3
16612,0,14,0,1,0,0.0,10,5,2,3
140126,2,8,0,0,0,1.0,12,6,2,1
26168,0,8,0,3,0,1.0,4,5,2,3
94753,0,11,0,3,0,0.0,6,9,1,1
49449,0,10,0,2,0,1.0,7,9,2,1
106604,1,3,0,1,0,0.0,4,5,3,3
120578,0,1,3,0,0,0.0,2,1,3,2
17907,1,7,0,1,0,0.0,4,5,1,3
133515,0,3,1,1,0,0.0,6,3,0,2
3276,0,12,0,2,0,4.0,8,9,0,1
129701,0,6,0,2,0,4.0,4,9,1,0
99392,0,5,0,0,0,0.0,3,5,3,3
146535,0,9,0,3,0,1.0,8,9,3,2
52305,0,10,0,0,0,0.0,2,5,0,3
147456,1,5,0,1,0,0.0,7,5,1,3
114205,0,7,0,0,0,0.0,1,1,1,0
39054,2,10,1,0,0,2.0,3,5,2,1
133932,0,8,0,1,0,0.0,10,0,1,3
83456,0,4,0,1,0,0.0,9,5,1,1
47368,0,4,0,0,0,0.0,12,5,2,3
124296,0,7,0,0,0,0.0,10,5,0,3
118861,0,13,0,2,0,0.0,10,9,0,1
112774,0,2,2,0,0,2.0,2,4,3,0
59787,0,11,0,2,0,1.0,9,9,0,1
94078,0,5,0,2,0,3.0,11,9,0,2
61432,2,5,0,0,0,1.0,2,2,3,2
123284,0,10,0,2,0,0.0,9,6,1,1
37954,0,5,3,0,0,0.0,7,5,3,3
116093,0,5,0,2,0,1.0,12,5,1,3
100398,0,8,0,2,0,0.0,8,9,0,0
48255,0,7,0,2,0,3.0,7,6,1,2
64807,3,15,0,2,0,3.0,5,5,0,2
1505,1,10,0,1,0,2.0,4,4,2,2
75135,0,10,0,1,0,0.0,7,2,3,3
143074,0,10,0,1,0,2.0,7,8,1,0
2218,0,11,0,2,0,3.0,6,9,3,1
118369,0,2,0,0,0,4.0,7,5,0,3
45106,0,12,0,2,0,2.0,8,9,2,1
125312,0,9,0,0,0,0.0,2,1,3,2
140719,0,1,0,0,0,0.0,7,5,0,0
5710,0,10,0,3,0,1.0,8,9,1,2
65494,0,4,0,0,0,0.0,12,1,0,0
100540,0,9,0,1,0,0.0,10,5,2,3
133441,0,6,0,0,1,0.0,11,7,0,0
536,0,7,0,2,0,3.0,9,5,3,3
58027,0,14,0,0,1,1.0,7,2,1,1
100260,1,6,0,1,0,0.0,8,5,2,3
100855,0,7,0,1,0,1.0,3,9,0,1
71254,0,9,0,1,0,2.0,6,4,0,1
49994,0,11,0,1,0,1.0,6,3,2,2
148276,1,13,0,1,0,1.0,10,3,0,2
34412,0,5,0,0,0,0.0,3,2,1,1
8910,0,10,0,1,0,0.0,7,4,1,2
109130,0,16,0,0,0,1.0,8,3,0,0
34277,0,6,0,1,0,1.0,10,3,0,0
96505,0,6,0,1,0,1.0,7,4,2,2
126179,0,4,0,1,0,2.0,6,4,0,0
69631,0,11,0,2,0,1.0,5,8,3,2
18005,0,8,0,1,0,0.0,6,5,1,3
100757,0,5,0,1,0,0.0,7,5,0,3
68252,0,14,0,1,0,0.0,12,3,0,1
79937,0,25,0,2,0,0.0,4,5,2,2
124330,0,6,0,1,0,0.0,9,5,0,3
7517,0,2,0,0,0,0.0,3,2,3,0
19612,0,7,0,2,0,0.0,5,4,3,2
37451,0,4,0,2,0,1.0,8,4,0,2
144405,1,6,0,0,0,0.0,9,5,2,3
4201,0,8,0,1,0,0.0,8,9,2,2
103547,0,6,0,1,0,1.0,4,9,0,0
114045,0,7,0,1,0,1.0,9,9,2,1
130457,0,8,0,0,0,0.0,9,5,0,0
140784,0,6,0,0,0,0.0,1,0,1,3
104577,0,9,0,1,0,1.0,9,9,2,1
128811,0,9,0,0,0,2.0,3,7,3,0
101007,0,10,0,1,0,2.0,5,5,2,2
135204,2,12,0,1,0,2.0,4,4,3,2
142250,0,7,0,1,0,1.0,5,5,0,1
146748,0,9,0,2,0,0.0,6,9,0,1
84369,2,2,0,1,0,0.0,7,2,3,3
149404,0,9,0,0,0,1.0,7,6,1,0
57664,0,5,0,1,0,0.0,4,5,1,2
21841,0,7,0,1,0,0.0,11,5,0,3
28737,0,2,0,0,0,0.0,3,5,2,3
145298,0,4,0,0,0,2.0,2,5,3,0
141462,0,8,0,3,0,0.0,7,5,1,3
33986,0,10,0,1,0,0.0,8,4,2,2
45638,0,8,0,2,0,2.0,5,9,3,1
12337,0,5,0,2,0,2.0,8,9,3,0
80265,0,4,0,0,0,0.0,5,5,2,3
81717,0,11,0,0,0,0.0,10,3,0,0
85766,0,4,0,2,0,1.0,7,7,0,1
25376,0,10,0,2,0,3.0,5,9,1,0
112925,0,13,0,2,0,0.0,9,1,2,3
1474,0,11,0,1,0,0.0,6,4,0,0
78772,0,7,0,2,0,0.0,9,9,0,0
24003,0,4,0,0,0,0.0,12,5,0,0
145916,0,9,0,3,0,0.0,8,9,3,1
35577,0,5,0,0,0,0.0,12,5,0,3
81105,0,17,0,3,0,4.0,6,9,2,1
14572,0,4,0,0,0,0.0,7,5,1,3
33999,0,5,0,0,0,1.0,2,3,2,0
30409,0,22,0,5,0,0.0,9,9,2,2
13744,2,7,0,2,0,1.0,5,2,3,2
111095,1,9,0,0,0,0.0,8,5,3,3
133770,0,14,0,2,0,0.0,8,9,2,1
100210,0,2,0,1,0,3.0,5,0,0,3
1211,0,2,0,0,0,1.0,7,2,0,0
51281,0,1,0,0,0,0.0,6,3,3,0
34749,0,10,0,0,0,0.0,9,9,0,0
86370,0,7,0,0,0,0.0,12,5,1,3
101695,0,25,0,2,0,0.0,10,6,1,2
95332,0,8,0,2,0,0.0,3,8,1,1
63703,0,25,0,3,0,4.0,6,9,2,2
115496,0,9,0,2,0,2.0,6,7,2,2
10919,0,4,0,1,0,2.0,7,3,2,2
117064,2,21,0,1,0,3.0,8,2,1,2
71160,0,3,0,0,0,0.0,11,7,1,0
93457,0,6,0,0,0,0.0,10,2,3,1
95842,0,4,1,0,1,0.0,7,5,3,3
149667,0,2,0,0,0,0.0,8,5,3,0
142750,0,9,0,2,0,1.0,3,7,0,2
27449,0,12,0,1,0,1.0,10,5,0,3
98011,0,10,0,1,0,0.0,12,5,1,3
88458,0,9,0,1,0,0.0,2,9,2,0
130946,0,5,0,0,0,0.0,4,8,1,0
42329,0,15,0,1,0,0.0,7,2,0,2
86358,0,4,0,1,0,2.0,10,9,1,1
1008,0,2,0,0,0,0.0,9,5,0,3
76849,0,13,0,2,0,0.0,11,8,2,2
100637,0,6,0,1,0,2.0,4,9,3,1
46520,0,11,0,4,0,0.0,12,7,2,2
60372,1,21,0,2,0,1.0,8,5,2,2
75734,0,12,0,1,0,0.0,5,5,2,3
72409,0,8,0,0,0,0.0,9,7,0,0
28888,0,13,0,0,0,0.0,2,5,1,3
1998,0,4,0,0,1,1.0,5,5,2,0
119049,0,10,0,0,0,0.0,9,5,0,3
101759,0,2,0,0,0,2.0,6,0,2,3
64346,0,4,0,1,0,1.0,9,3,1,1
107143,0,4,0,0,0,3.0,7,6,1,0
74185,0,12,0,3,0,0.0,8,9,0,1
85019,4,16,1,7,0,2.0,8,9,0,2
1894,0,6,0,0,0,0.0,2,2,0,1
44375,0,6,1,1,0,0.0,5,3,3,1
30614,0,12,0,2,1,0.0,7,9,0,0
92164,2,2,0,1,1,0.0,4,5,3,3
15331,0,3,0,1,0,2.0,2,3,2,2
15561,0,10,0,3,0,1.0,7,5,1,3
94212,0,5,0,0,0,0.0,2,5,1,3
24026,2,11,0,2,0,0.0,6,7,1,1
5517,0,10,0,1,0,0.0,2,5,2,3
91150,0,10,0,1,0,0.0,7,6,1,1
94944,0,10,0,1,0,4.0,4,2,2,3
5891,1,5,0,0,0,0.0,2,1,2,0
117661,0,2,0,0,0,0.0,1,0,0,0
27278,0,5,0,1,0,0.0,10,4,1,1
26794,3,33,0,3,0,0.0,12,9,3,2
138687,5,8,0,1,0,1.0,8,2,3,2
5366,0,2,0,0,0,0.0,1,5,0,0
78332,0,3,0,1,0,0.0,8,5,1,3
101606,0,3,0,0,0,0.0,12,5,1,3
131860,1,7,0,0,0,0.0,12,1,0,0
1116,0,14,0,0,0,0.0,11,9,1,0
76633,0,5,0,0,0,0.0,2,5,3,3
7993,0,2,0,0,0,0.0,3,1,0,0
30407,0,7,0,0,0,1.0,7,9,0,0
83918,0,2,0,0,0,1.0,7,6,2,0
6822,0,7,0,1,0,1.0,9,4,0,1
109466,0,8,0,2,0,0.0,8,5,3,2
47249,0,10,0,2,0,0.0,6,2,3,3
5802,0,9,0,0,0,0.0,11,4,2,0
16829,0,12,0,1,0,0.0,12,2,1,2
85111,0,4,0,1,0,0.0,9,5,3,3
66469,2,10,2,2,0,0.0,9,5,3,3
10688,0,15,0,1,0,0.0,8,3,2,2
76976,0,9,0,0,1,0.0,11,5,3,3
120816,0,3,0,0,0,0.0,6,2,1,0
145854,0,4,0,0,0,1.0,8,5,1,0
107839,1,5,0,1,1,3.0,7,9,3,1
99870,3,3,1,0,0,0.0,5,1,3,0
144748,0,2,0,0,0,0.0,10,5,0,3
114131,0,12,0,4,0,0.0,4,8,3,2
24513,1,2,0,0,0,2.0,8,5,3,3
13125,0,7,0,1,0,0.0,11,9,1,0
85162,0,6,0,2,0,2.0,7,9,3,1
104392,0,10,0,1,0,2.0,5,6,3,2
53062,0,14,0,0,0,0.0,10,3,0,0
29626,0,10,0,1,0,1.0,5,6,1,2
108263,0,17,0,1,0,3.0,8,9,1,2
20461,0,5,0,2,0,0.0,7,9,2,2
131299,0,6,0,0,0,1.0,3,5,3,0
110405,0,14,0,2,0,1.0,5,5,3,2
2676,0,10,0,1,0,4.0,4,9,2,1
23108,0,1,0,0,0,0.0,9,1,0,0
3722,0,3,0,0,0,1.0,3,2,3,1
80943,0,15,0,1,0,2.0,5,9,3,2
68106,0,3,0,1,0,0.0,5,3,2,2
65358,0,4,0,1,0,0.0,11,5,0,0
111083,0,14,0,0,1,2.0,4,0,2,3
36962,0,7,0,2,0,0.0,4,9,2,1
122883,0,15,0,0,0,0.0,6,3,1,0
56148,0,7,0,0,0,0.0,10,5,0,0
138831,0,11,0,4,0,0.0,8,4,3,3
140367,0,12,0,1,0,1.0,3,4,2,3
65383,0,6,0,2,0,0.0,6,5,1,1
137770,0,8,0,1,0,2.0,9,9,0,0
66777,0,10,0,2,0,3.0,4,5,3,2
3496,0,3,0,1,0,0.0,7,4,1,0
130926,0,11,0,2,0,2.0,8,3,2,2
12445,0,9,0,2,0,0.0,6,9,3,2
133271,2,6,0,1,0,0.0,7,4,2,1
98047,1,12,0,2,0,1.0,5,3,2,2
49390,0,8,0,0,0,0.0,12,5,0,3
113348,0,14,0,2,0,0.0,7,9,2,1
99953,0,8,0,1,0,0.0,8,2,1,2
9026,0,14,0,0,0,0.0,10,5,0,3
42737,0,4,0,0,0,1.0,12,4,0,0
112100,0,10,0,2,1,0.0,8,4,2,2
24140,0,15,0,0,0,0.0,11,9,0,0
148210,0,10,0,1,0,0.0,7,9,0,2
12734,0,12,0,0,0,0.0,11,5,0,3
63506,0,10,0,2,0,0.0,11,5,0,3
35250,0,8,0,2,0,0.0,8,9,0,0
58218,0,11,0,1,1,0.0,10,5,0,3
94768,0,5,0,2,0,0.0,9,6,2,2
40055,0,36,0,1,0,0.0,11,9,1,1
145861,0,3,0,0,0,0.0,1,2,3,0
71274,0,3,0,0,0,0.0,11,5,0,0
117765,0,3,0,0,0,0.0,11,5,0,0
73925,0,11,0,3,0,0.0,10,6,1,2
113924,0,12,0,6,0,0.0,3,9,1,2
107116,0,8,0,2,0,2.0,4,0,3,3
53349,0,6,0,0,0,3.0,5,3,1,0
57795,0,16,0,0,0,0.0,10,2,0,0
1961,0,0,0,0,0,3.0,6,6,3,0
7776,0,11,0,0,0,2.0,5,9,0,0
123418,0,12,0,2,0,1.0,6,3,3,2
41015,0,4,0,0,0,1.0,4,2,0,0
138152,0,6,0,1,0,3.0,5,5,2,3
52127,1,9,0,0,0,0.0,10,4,2,1
51011,0,5,0,1,0,0.0,3,8,1,1
147162,0,15,0,2,0,1.0,5,4,2,2
33029,0,16,0,1,0,0.0,11,9,1,0
28551,1,29,0,3,0,1.0,10,9,2,3
113637,0,10,0,1,0,0.0,10,4,0,1
93806,0,10,0,1,0,0.0,3,3,2,2
46160,1,15,0,2,0,1.0,6,7,1,2
113627,0,11,0,1,0,0.0,10,3,2,1
80095,0,12,0,2,0,0.0,4,4,2,3
91174,1,7,0,1,0,0.0,4,2,2,2
28076,0,8,0,0,0,0.0,3,2,3,0
123529,0,8,0,0,0,2.0,4,5,2,2
120588,0,6,0,1,0,1.0,5,8,0,1
129704,0,6,0,0,0,0.0,10,4,1,0
136967,0,15,0,2,0,0.0,10,5,0,3
145715,0,7,0,0,0,0.0,3,1,1,1
130873,0,7,0,0,0,0.0,8,5,1,3
51823,0,4,0,1,0,0.0,4,2,0,2
48573,0,9,0,3,0,0.0,7,3,3,2
129754,0,9,0,2,0,0.0,9,9,2,1
77990,0,5,0,1,0,0.0,12,2,0,0
45726,0,2,0,0,1,2.0,5,6,2,0
125222,0,1,0,0,0,0.0,7,5,0,0
117055,0,8,0,1,0,0.0,5,8,2,1
87430,0,11,0,1,0,0.0,7,6,1,1
91676,0,3,0,1,0,1.0,7,5,3,3
34257,0,4,0,0,0,0.0,3,4,2,1
131867,0,5,0,1,0,0.0,8,9,0,1
49380,0,11,0,2,0,3.0,6,6,1,2
93709,1,4,1,1,0,0.0,4,5,3,2
25051,0,14,0,2,1,3.0,3,7,1,1
107175,0,11,0,4,0,0.0,9,5,1,3
19340,0,5,0,0,0,0.0,12,9,0,0
104443,1,3,0,1,0,1.0,8,9,3,1
48891,0,9,0,0,0,0.0,2,5,3,3
96407,0,4,0,2,0,1.0,7,6,1,1
35826,0,3,0,0,0,0.0,12,2,0,0
90700,2,2,0,0,0,4.0,7,3,3,1
42666,0,9,0,1,0,0.0,9,5,1,3
69627,0,8,0,3,0,4.0,4,9,3,2
108710,0,5,0,0,0,2.0,3,4,1,0
94962,0,10,0,1,0,0.0,9,5,0,3
65965,0,12,0,2,0,2.0,6,4,2,3
7719,0,12,0,1,0,0.0,5,8,3,2
4579,0,6,0,1,0,0.0,4,5,1,1
82135,0,6,0,0,0,1.0,11,4,2,1
118690,0,15,0,2,0,2.0,4,4,1,2
76073,0,10,0,1,0,0.0,8,9,1,1
124791,1,8,0,2,2,1.0,8,4,2,2
91243,0,8,0,0,0,2.0,5,4,2,0
21032,0,8,0,1,0,0.0,2,3,3,2
85961,0,9,4,2,5,0.0,7,2,3,3
112810,1,5,0,1,0,4.0,5,7,3,1
117502,0,14,0,1,0,0.0,3,5,1,3
72639,0,15,0,2,0,0.0,8,5,1,3
135188,3,10,0,2,1,0.0,6,5,3,3
91028,3,7,0,1,0,2.0,5,3,3,2
76052,0,11,0,1,0,3.0,8,5,2,1
126932,0,9,0,1,0,0.0,10,9,1,0
140377,0,2,0,1,0,0.0,9,0,0,3
116194,0,12,0,4,0,1.0,5,9,2,2
37869,5,14,0,3,1,1.0,7,2,3,3
139343,0,5,0,0,0,0.0,1,0,1,0
139549,0,16,0,1,0,0.0,2,9,1,1
134157,0,4,0,1,0,1.0,9,9,2,0
85562,1,9,0,0,0,0.0,11,8,3,2
116732,0,6,0,1,0,3.0,4,6,0,2
130840,0,6,0,1,0,1.0,5,8,3,0
22816,2,7,0,0,0,1.0,4,3,3,1
117425,0,3,0,0,0,0.0,10,5,0,3
125939,0,4,0,1,0,0.0,5,2,0,1
140298,5,6,1,0,1,0.0,3,4,3,1
58171,0,11,0,2,0,3.0,5,6,2,2
